id,name,description,color,layer,connections_count
"modo-colaborativo","Modo Colaborativo","Interação síncrona entre usuários (planejado)","#6366f1",1,3
"resistencia","Resistência em Código","Técnicas práticas de contra-automação","#10b981",0,4
"devir","Devir","Processo de tornar-se, transformação contínua sem destino fixo","#8b5cf6",-1,3
"ontologia-relacional","Ontologia Relacional","Ser é relação, não substância isolada","#8b5cf6",-1,4
"uberizacao","Uberização","Precarização do trabalho via plataformas digitais","#ef4444",0,11
"trabalho-imaterial","Trabalho Imaterial","Trabalho cognitivo, afetivo e comunicacional não-pago","#ef4444",0,4
"trabalho-reprodutivo","Trabalho Reprodutivo","Trabalho de cuidado e manutenção da vida, historicamente invisibilizado","#ef4444",0,3
"federici","Silvia Federici","Teórica do trabalho reprodutivo e acumulação primitiva","#8b5cf6",-1,2
"ciberfeminismo","Ciberfeminismo","Análise feminista da tecnologia e do trabalho digital","#8b5cf6",0,3
"plataformizacao","Plataformização","Monopolização da infraestrutura digital","#ef4444",0,7
"decolonial","Pensamento Decolonial","Crítica à colonialidade do saber e do poder","#8b5cf6",-1,3
"ubuntu","Ubuntu","Filosofia africana: ""Eu sou porque nós somos""","#8b5cf6",-1,3
"cosmotecnica","Cosmotécnica","Técnicas enraizadas em cosmologias locais (Yuk Hui)","#8b5cf6",-1,3
"guaiamum","Guaiamum Lateral","Movimento diagonal, não-linear, caranguejo","#10b981",0,3
"backfeed","Backfeed","Retorno do futuro para o presente (antecipação)","#10b981",0,4
"opacidade","Opacidade Estratégica","Resistir via não-transparência (Édouard Glissant)","#10b981",0,3
"honeypots","Honeypots","Armadilhas para capturar bots invasores","#10b981",0,3
"ironia-politica","Ironia Política","Crítica através da performance contraditória","#10b981",0,3
"grafo-conceitos","Grafo de Conceitos","Estrutura de dados que representa o rizoma","#6366f1",1,3
"websocket","WebSocket","Comunicação bidirecional em tempo real","#6366f1",1,3
"meta-observacao","Meta-Observação","Observar o ato de observar (segunda ordem)","#10b981",0,3
"canvas-background","Canvas Background","Sistema de arte generativa que performa a filosofia","#10b981",0,3
"caos","Caos Criativo","Desordem produtiva, não-entrópica","#10b981",0,3
"trabalho-invisivel","Trabalho Invisível","Trabalho técnico desvalorizado e não-reconhecido","#ec4899",0,4
"divisao-sexual-trabalho","Divisão Sexual do Trabalho","Segregação de gênero no trabalho digital","#ec4899",0,3
"moderacao-conteudo","Moderação de Conteúdo","Trabalho traumático invisibilizado nas plataformas","#ef4444",0,3
"necropolitica-digital","Necropolítica Digital","Algoritmos que decidem quem vive e quem morre (Mbembe)","#dc2626",0,5
"gabinete-odio","Gabinete do Ódio","Feedback positivo amplificando genocídio via algoritmos","#dc2626",0,4
"capitalismo-racial-digital","Capitalismo Racial Digital","Reconhecimento facial erro 34% mulheres negras vs 0,8% homens brancos","#dc2626",0,4
"sistema-detecta","Sistema Detecta (Bahia)","90% alertas miram jovens homens negros - genocídio algorítmico","#dc2626",0,3
"compas","COMPAS (Reincidência)","45% falsos positivos negros vs 23% brancos - racismo sistêmico","#dc2626",0,3
"clearview-ai","Clearview AI","3 bilhões rostos raspados sem consentimento - vigilância total","#dc2626",0,3
"economia-politica-odio","Economia Política do Ódio","R$ 12M contratos milícias digitais + mercado US$ 78B global","#dc2626",0,4
"desinformacao-industrial","Desinformação Industrial","6 estágios: produtores→amplificadores→mercenários→plataformas→anunciantes→beneficiários","#dc2626",0,3
"cambridge-analytica","Cambridge Analytica","87M perfis Facebook → microtargeting psicológico → Brexit/Trump","#dc2626",0,3
"crise-epistemica","Crise Epistêmica","3 patologias: relativismo tóxico, conspiracionismo hiper-racional, fundamentalismo digital","#dc2626",0,3
"fact-checking-estrutural","Por Que Fact-Checking Falha","5 razões: assimetria temporal, não atinge bolhas, efeito backfire, assimetria recursos, problema sistêmico","#dc2626",0,3
"reformas-infraestruturais","7 Reformas Infraestruturais","Educação midiática, transparência algorítmica, desmonetização ódio, responsabilização plataformas, etc.","#10b981",1,3
"vsm-necropolitico","VSM Necropolítico Expandido","S1-S5 Facebook Papers: sistema viável para morte não democracia","#dc2626",0,4
"facebook-papers","Facebook Papers","Documentos internos: Zuckerberg sabia algoritmos matavam, priorizou lucro","#dc2626",0,3
"frances-haugen","Frances Haugen (Whistleblower)","Ex-cientista dados Facebook expôs algoritmos ódio deliberados","#10b981",0,3
"moderacao-trauma","Trauma Moderadores","PTSD após visualizar atrocidades 8h/dia - trabalho necropolítico","#dc2626",0,3
"resistencia-bem-sucedida","Resistência Bem-Sucedida","Sleeping Giants R$ 30M cortados, TSE 700M posts removidos, DSA 6% multas","#10b981",1,4
"sleeping-giants","Sleeping Giants Brasil","Campanha cortou R$ 30M publicidade sites ódio - boicote funciona","#10b981",1,3
"tse-2022","TSE Eleições 2022","700 milhões posts fake news removidos - regulação possível","#10b981",1,3
"dsa-europeia","Digital Services Act (UE)","Multas até 6% receita global - responsabilização plataformas","#10b981",1,3
"whistleblowers","Whistleblowers (Haugen/Zhang/Wylie)","Denunciantes internos expõem crimes corporativos - coragem política","#10b981",1,3
"autocuidado-militante","Autocuidado Militante","10 sinais PTSD + 7 estratégias individuais + 6 práticas coletivas","#10b981",1,4
"alegria-militante","Alegria Militante","Audre Lorde: autocuidado não indulgência, é guerra política - contra cinismo necropolitico","#10b981",1,3
"cuidado-coletivo","Cuidado Coletivo","6 práticas: check-ins emocionais, rodízio tarefas pesadas, espaços descompressão, terapia grupo, rituais celebração, cultura não-julgamento","#10b981",1,3
"viralizacao","Viralização","Feedback positivo social (engajamento exponencial)","#f97316",0,3
"gamificacao","Gamificação","Mecânicas de jogo aplicadas para maximizar engajamento","#f97316",0,3
"cybersyn","Proyecto Cybersyn","Cibernética socialista no Chile de Allende (1971-73)","#22c55e",-1,4
"planejamento-participativo","Planejamento Participativo","Cibernética como ferramenta democrática, não tecnocrática","#22c55e",0,3
"democracia-algoritmicica","Democracia Algorítmica","Limites e possibilidades de tecnologia na democracia","#7c3aed",0,3
"determinismo-tecnologico","Determinismo Tecnológico","Crença falsa de que tecnologia resolve tudo","#7c3aed",0,3
"homeostase","Homeostase","Equilíbrio dinâmico via feedback negativo","#10b981",0,3
"digitalizacao","Digitalização","Conversão de tudo em bits - base da mercantilização digital","#8b5cf6",0,4
"extrativismo","Extrativismo Digital","Mineração de dados + mineração literal (terras raras)","#22c55e",0,4
"geopolitica","Geopolítica Digital","Guerra das redes, soberania tecnológica, BRICS vs OTAN","#dc2626",0,4
"internet","Internet","ARPANET militar → www civil (mas vigilância permanece)","#6366f1",0,3
"salto-dialetico","Salto Dialético","Processo pelo qual filosofia abstrata se transforma em ciência concreta que recria o mundo","#8b5cf6",1,4
"tese-antitese-sintese","Tese-Antítese-Síntese","Movimento dialético hegeliano: contradição gera superação qualitativa","#8b5cf6",1,3
"filosofia-ciencia","Filosofia → Ciência","Transformação de abstração em ferramentas materiais testáveis","#8b5cf6",1,4
"aristoteles-newton","Aristóteles → Newton","Primeiro salto: filosofia natural → física matemática experimental","#ef4444",-1,4
"crise-abstracao","Crise da Abstração","Fase 1: quando filosofia encontra contradições empíricas insolúveis","#8b5cf6",1,3
"anomalias-empiricas","Anomalias Empíricas","Observações que teoria vigente não consegue explicar (Kuhn)","#8b5cf6",1,3
"telescopio-galileu","Telescópio de Galileu","Instrumento material que força crise teórica: luas de Júpiter contradizem geocentrismo","#ef4444",-1,3
"ponte-metodologica","Ponte Metodológica","Fase 2: ferramentas materiais que operacionalizam conceitos filosóficos","#8b5cf6",1,4
"instrumentos-cientificos","Instrumentos Científicos","Ferramentas que estendem sentidos e permitem testar teoria","#8b5cf6",1,4
"matematizacao","Matematização","Expressão de fenômenos naturais em linguagem matemática (F=ma)","#8b5cf6",1,3
"metodo-experimental","Método Experimental","Isolar variáveis, criar condições controladas, replicar observações","#8b5cf6",1,3
"recriacao-real","Recriação do Real","Fase 3: nova ciência gera tecnologias que transformam mundo material","#8b5cf6",1,4
"revolucao-industrial","Revolução Industrial","Física newtoniana materializada em máquinas a vapor, ferrovias, fábricas","#ef4444",0,4
"alquimia-quimica","Alquimia → Química","Segundo salto: proto-ciência hermética → ciência quantitativa dos elementos","#ef4444",-1,4
"balanca-lavoisier","Balança Analítica de Lavoisier","Instrumento que quantifica massa, provando conservação e destruindo alquimia","#ef4444",-1,3
"conservacao-massa","Lei da Conservação da Massa","Nada se cria, nada se perde — massa total é constante em reações químicas","#ef4444",-1,3
"nomenclatura-sistematica","Nomenclatura Química Sistemática","Abandono de símbolos herméticos, criação de linguagem descritiva (H₂O)","#ef4444",-1,2
"industria-quimica","Indústria Química","Química materializada: fertilizantes, corantes, plásticos, medicamentos sintéticos","#10b981",0,4
"sintese-ureia","Síntese da Ureia (Wöhler 1828)","Primeira substância orgânica sintetizada artificialmente — quebra barreira vivo/não-vivo","#10b981",0,2
"logica-computacao","Lógica → Computação","Terceiro salto: cálculo formal do pensamento → máquinas universais de silício","#6366f1",0,4
"maquina-turing","Máquina de Turing","Experimento mental (1936): qualquer computação redutível a operações simples","#6366f1",0,4
"circuitos-logicos","Circuitos Lógicos","Claude Shannon: operações booleanas (AND/OR/NOT) implementáveis em eletrônica","#6366f1",0,3
"arquitetura-von-neumann","Arquitetura de von Neumann","Modelo de computador de programa armazenado — base de todos computadores modernos","#6366f1",0,3
"era-digital","Era Digital","Lógica materializada: ciberespaço, algoritmos constituindo sujeitos, internet","#6366f1",0,4
"condicoes-materiais-salto","Condições Materiais do Salto","Saltos exigem infraestrutura, relações sociais e hegemonia cultural adequadas","#8b5cf6",1,4
"infraestrutura-tecnologica","Infraestrutura Tecnológica","Base material prévia necessária (vidro para telescópio, silício para chips)","#8b5cf6",1,3
"hegemonia-cultural","Hegemonia Cultural","Consenso ativo sobre racionalidade (Gramsci) — saltos precisam ser aceitos culturalmente","#8b5cf6",1,4
"iluminismo","Iluminismo","Projeto cultural: razão universal, progresso linear, instrumentalização da natureza","#8b5cf6",1,4
"sapere-aude","Sapere Aude (Kant)","""Ouse saber"" — lema iluminista da razão liberada de superstição","#8b5cf6",1,2
"dessacralizacao-natureza","Dessacralização da Natureza","Natureza deixa de ser sagrada, torna-se recurso quantificável e explorável","#8b5cf6",1,4
"saltos-abortados","Saltos Abortados","Transformações impedidas por repressão, cooptação ou limitação epistêmica","#ef4444",0,4
"repressao-direta","Repressão Direta","Destruição física de infraestrutura revolucionária (Cybersyn queimado, Panteras mortos)","#ef4444",0,4
"golpe-chile","Golpe no Chile (1973)","Pinochet destrói Cybersyn, mata/exila técnicos — assassinato de possibilidade","#ef4444",0,3
"cooptacao-capitalista","Cooptação Capitalista","Capital metaboliza críticas, despolitiza via mercantilização (contracultura→publicidade)","#10b981",0,4
"neutralizar-conteudo","Neutralizar Conteúdo, Manter Forma","Padrão: aceitar forma radical mas esvaziar conteúdo revolucionário","#10b981",0,4
"feminismo-girlboss","Feminismo → Girl Boss","Movimento anticapitalista reduzido a empoderamento individual no mercado (Lean In)","#10b981",0,2
"opensource-bigtech","Open Source → Big Tech","Software livre capturado: Google/Facebook usam Linux/Apache gratuitamente, lucram bilhões","#10b981",0,3
"colonizacao-imaginacao","Colonização da Imaginação","Incapacidade de conceber alternativas — realismo capitalista (Mark Fisher)","#ef4444",0,4
"realismo-capitalista","Realismo Capitalista","""Mais fácil imaginar fim do mundo que fim do capitalismo"" (Mark Fisher)","#ef4444",0,3
"tina","TINA (There Is No Alternative)","Slogan thatcherista: neoliberalismo como única racionalidade possível","#ef4444",0,3
"salto-livro","O Salto Que Este Livro Tenta","Meta-reflexão: livro como Fases 1-2 do salto, leitor completa Fase 3 com prática","#8b5cf6",1,4
"leitor-construtor","De Leitor a Construtor","Fase 3 pendente: organizar cooperativas, implementar protocolos, construir redes mesh","#8b5cf6",1,5
"espiral-dialetica","Espiral Dialética","Conhecimento não linear nem circular — espiral ascendente acumulando complexidade","#8b5cf6",1,3
"humildade-epistemologica","Humildade Epistemológica","Toda síntese é provisória — novas crises gerarão novos saltos (inclusive deste livro)","#8b5cf6",1,3
"urgencia-etica","Urgência Ética","Saltos atuais (IA, quântica, bio) exigem direcionamento consciente — tempo é limitado","#ef4444",0,3
"ia-salto-andamento","IA como Salto em Andamento","De lógica determinística (Turing) → sistemas probabilísticos (redes neurais) — quem controla?","#6366f1",0,4
"crise-paradigma-booleano","Crise do Paradigma Booleano","Lógica True/False inadequada para ambiguidade — redes neurais são caixa-preta probabilística","#6366f1",0,3
"democracia-aumentada-vs-totalitarismo","Democracia Aumentada vs Totalitarismo","Bifurcação: IA pode gerar Cybersyn 2.0 OU Social Credit System global","#6366f1",0,4
"a-morte-do-eu-individual-o-nascimento-do-eu-coletivo","""A Morte do Eu Individual, o Nascimento do Eu Coletivo""","Conceito extraído de: 🔄 Da Teoria à Práxis","#10b981",0,0
"a-automação-descontrolada-e-o-uso-militar-da-ciência-são-as-duas-grandes-ameaças-à-humanidade","""A automação descontrolada e o uso militar da
                                ciência
                                são as duas grandes ameaças à humanidade""","Conceito extraído de: Capítulo 2: Introdução à Cibernética — Dos Primórdios aos Fundamentos","#10b981",0,0
"a-fábrica-não-desapareceu-ela-se-espalhou-por-toda-a-sociedade","""A fábrica não desapareceu; ela se espalhou por
                        toda a sociedade""","Conceito extraído de: Capítulo 9: Pós-Operaísmo e a Teoria da Multidão","#10b981",0,0
"a-mensagem-ataque-ao-amanhecer-contém-os-mesmos-bits-que-xfzqpl-wkmnop","""A mensagem 'Ataque ao amanhecer' contém os mesmos bits que 'XFZQPL WKMNOP'""","Conceito extraído de: Capítulo 2: Introdução à Cibernética — Dos Primórdios aos Fundamentos","#10b981",0,0
"a-máquina-é-o-meio-mais-poderoso-de-aumentar-a-produtividade-e-de-prolongar-a-jornada-de-trabalho","""A máquina é o meio mais
                                poderoso de aumentar a produtividade [...] e de prolongar a jornada de trabalho.""","Conceito extraído de: Capítulo 2: Introdução à Cibernética — Dos Primórdios aos Fundamentos","#ef4444",-1,0
"anatomy-of-an-ai-system","""Anatomy of an AI System""","Conceito extraído de: Capítulo 12: Ciberfeminismo, Afrofuturismo e Ecossocialismo Digital","#10b981",0,0
"antropoceno","""Antropoceno""","Conceito extraído de: Capítulo 12: Ciberfeminismo, Afrofuturismo e Ecossocialismo Digital","#10b981",0,0
"análise-terminou-agora-é-com-vocês","""Análise terminou. Agora é com
                        vocês.""","Conceito extraído de: Mapa Mental: A Teia Conceitual do Livro","#10b981",0,0
"apenas-variedade-absorve-variedade","""Apenas variedade absorve variedade""","Conceito extraído de: Capítulo 20: A Guerra das Redes: Geopolítica Cibernética, BRICS Pay e a Batalha pelos Meios de
                    Pagamento","#10b981",0,0
"apenas-variedade-pode-absorver-variedade","""Apenas variedade pode absorver variedade""","Conceito extraído de: Capítulo 18: Projeto Cybersyn — A Cibernética com Cheiro de Vinho Tinto e Empanadas","#10b981",0,0
"blockchain-a-technological-solution-in-search-of-a-problem","""Blockchain: A
                                Technological Solution in Search of a Problem""","Conceito extraído de: Capítulo 12: Ciberfeminismo, Afrofuturismo e Ecossocialismo Digital","#10b981",0,0
"capitaloceno","""Capitaloceno""","Conceito extraído de: Capítulo 12: Ciberfeminismo, Afrofuturismo e Ecossocialismo Digital","#ef4444",-1,0
"caring-for-myself-is-not-self-indulgence-it-is-self-preservation-and-that-is-an-act-of-political-warfare","""Caring for myself is not 
                        self-indulgence, it is self-preservation, and that is an act of political warfare""","Conceito extraído de: Capítulo 22: Necropolítica Digital e o Fascismo de Tela — A Máquina de Morte Algorítmica","#10b981",0,0
"coloniality-of-power-eurocentrism-and-latin-america","""Coloniality of Power, Eurocentrism, and Latin America""","Conceito extraído de: Capítulo 7: Marxismo e Tecnologia — Debates Clássicos","#10b981",0,0
"como-nós-ao-observar-e-descrever-este-sistema-estamos-participando-de-sua-criação","""Como nós, ao observar e descrever este sistema,
                        estamos participando de sua criação?""","Conceito extraído de: Capítulo 6: Cibernética — Controle, Comunicação e Sociedade","#10b981",0,0
"como-podemos-entender-e-controlar-este-sistema","""Como podemos entender e controlar este sistema?""","Conceito extraído de: Capítulo 6: Cibernética — Controle, Comunicação e Sociedade","#10b981",0,0
"corrupção-governamental-blockchain-desigualdade-defi-censura-nfts","""Corrupção governamental? Blockchain!
                            Desigualdade? DeFi! Censura? NFTs!""","Conceito extraído de: Capítulo 12: Ciberfeminismo, Afrofuturismo e Ecossocialismo Digital","#10b981",0,0
"debate-do-cálculo-socialista","""Debate do Cálculo
                        Socialista""","Conceito extraído de: Capítulo 4: Economia Política — Desenvolvimento, Dependência e Periferia","#10b981",0,0
"descobrimos-o-código-da-vida-e-da-mente","""Descobrimos o código da vida e da mente!""","Conceito extraído de: Capítulo 2: Introdução à Cibernética — Dos Primórdios aos Fundamentos","#10b981",0,0
"elo-score","""Elo Score""","Conceito extraído de: Capítulo 13: Sexualidade e Religião na Era Digital: Corpos, Crenças e Comunidades em Rede","#10b981",0,0
"eu-não-tirei-férias-em-3-anos-se-você-para-de-streamer-um-dia-o-algoritmo-te-pune-seus-viewers-vão-para-outro-canal-é-trabalhar-365-dias-ou-desaparecer","""Eu não tirei férias em 3 anos. Se você para de streamer um dia, o algoritmo
                        te pune. Seus viewers vão para outro canal. É trabalhar 365 dias ou desaparecer.""","Conceito extraído de: Capítulo 15: O Corpo-Atleta na Arena Digital: A Plataformização dos Esportes e Esports","#10b981",0,0
"fascismo-libertário","""Fascismo libertário""","Conceito extraído de: Capítulo 31: O Fim da Era Ultrarracionalista: Fascismo Libertário, Neoliberalismo Progressista e
                    Outros
                    Modelos de Captura","#10b981",0,0
"fragmento-sobre-as-máquinas","""Fragmento sobre as Máquinas""","Conceito extraído de: Capítulo 5: Marx e a Crítica da Economia Política","#10b981",0,0
"intervenção-humanitária","""Intervenção humanitária"":","Conceito extraído de: Capítulo 31: O Fim da Era Ultrarracionalista: Fascismo Libertário, Neoliberalismo Progressista e
                    Outros
                    Modelos de Captura","#10b981",0,0
"jogos-como-serviço-gaas","""Jogos como
                        Serviço"" (GaaS)","Conceito extraído de: Capítulo 14: A Engenharia do Vício: Jogos, Apostas e a Extração do Gozo","#10b981",0,0
"lei-universal-da-dialética-informacional-homem-máquina","""Lei Universal da
                                    Dialética Informacional Homem-Máquina""","Conceito extraído de: Rizoma — Ponto de Envio/Resposta","#10b981",0,0
"lei-de-ashby-em-ação","""Lei de Ashby"" em ação","Conceito extraído de: Capítulo 18: Projeto Cybersyn — A Cibernética com Cheiro de Vinho Tinto e Empanadas","#ef4444",-1,0
"liberte-se-dos-bancos-descentralize-o-poder-democracia-algorítmica-dinheiro-sem-estado","""Liberte-se dos bancos! Descentralize o poder! Democracia algorítmica! Dinheiro sem
                            Estado!""","Conceito extraído de: Capítulo 12: Ciberfeminismo, Afrofuturismo e Ecossocialismo Digital","#10b981",0,0
"linux-for-human-beings","""Linux for human beings""","Conceito extraído de: Capítulo 28: Síntese das Cosmotécnicas Plurais — Ubuntu, Sumak Kawsay e a Revolução Digital
                    Decolonial","#10b981",0,0
"mas-quem-controla-esse-sistema-você","""Mas quem controla esse sistema? Você?""","Conceito extraído de: Capítulo 17: OGAS — A Internet Vermelha da União Soviética","#10b981",0,0
